Transcript,Label,Predicted Emotion,Mapped Value,speaker_id
Don't laugh at me.  I'm being serious.,1,Happy,1,937
Well Vegas was awesome.,1,Neutral,0,937
I'm cold.,2,Neutral,0,937
Do you want to take off your shoes?,1,Neutral,0,937
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",2,Neutral,0,937
I- I-I didn't-- okay.,0,Neutral,0,937
You're not.,3,Neutral,0,937
Do they always run during a full moon?  I don't remember.  Was it full last year?,0,Neutral,0,937
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],1,Happy,1,937
No.,0,Neutral,0,937
Yeah.  I heard.,0,Neutral,0,937
Yes it is.,0,Neutral,0,937
Okay. Calm-,0,Angry,3,937
Mmhmm.,0,Neutral,0,937
"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",0,Neutral,0,937
You're not going like this.,3,Neutral,0,937
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",3,Neutral,0,937
beating around the bush.,1,Neutral,0,937
What about me?,3,Neutral,0,937
Shut up.,3,Angry,3,937
"And, um, I got married.",1,Happy,1,937
"I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully.",3,Angry,3,937
They sting. I don't care.  Do you understand?  I don't care if they bark and they roll about like hoops.,3,Angry,3,937
"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",2,Sad,2,937
"I am riding the bus, but by choice.",0,Neutral,0,937
Yeah.,0,Neutral,0,937
"You're kidding me, this is a joke.",3,Angry,3,937
"Have you tried, uh, Craig's List?",0,Neutral,0,937
"Okay.  So I am putting out the pets, getting the car out of the garage.",0,Neutral,0,937
"If not me then, who?",2,Neutral,0,937
Oh.  She was there?,0,Neutral,0,937
Okay.  I'll do that.,3,Neutral,0,937
Oh.  I hadn't even thought about that.,1,Neutral,0,937
Why didn't you let me know?,1,Neutral,0,937
"Well as a matter of fact, yes, that's perfectly true.",0,Neutral,0,937
I'd rather not remember some things.  I'd rather not hope for some things.,2,Sad,2,937
[LAUGHTER],1,Neutral,0,937
"So maybe we are in the wrong spot, but we are with the right person.",0,Neutral,0,937
You did?,0,Neutral,0,937
Then help me stay here.,0,Neutral,0,937
Oh.  I'm saving the environment. I'm riding this car because I- I want to.,3,Angry,3,937
So what do you think?,1,Neutral,0,937
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,3,Angry,3,937
Uh huh.,0,Neutral,0,937
"God, this is great.  Think about this.  I know you are not interested, but just think about this.",1,Happy,1,937
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",0,Neutral,0,937
You are so high and mighty.  I just--,3,Neutral,0,937
Can I help you?,1,Neutral,0,937
Oh.  Totally.,1,Neutral,0,937
Give me a kiss.,1,Neutral,0,937
"Okay, yeah.  I would imagine.",0,Neutral,0,937
"Well sure, from your mother's point of view.  Why else would I come?",0,Neutral,0,937
Because I probably know him.,3,Neutral,0,937
You keep saying my flashlight like it's just yours.,3,Angry,3,937
"Chris, I've been ready a long, long, time.",0,Neutral,0,937
I just- I mean I call people up and I tell them what I'm good at.,0,Neutral,0,937
Fine if you insist on being boorish and idiotic.,3,Angry,3,937
Flight seven fourteen.,3,Neutral,0,937
"I don't want money, I want my clothes.",3,Angry,3,937
Oh.  Must you be inspired?,3,Angry,3,937
How do you know why she waited?,0,Neutral,0,937
You know.,0,Neutral,0,937
That's the wind.,0,Neutral,0,937
"He's dreaming of him again, walking around.",0,Sad,2,937
[LAUGHTER],1,Neutral,0,937
Yeah.,0,Neutral,0,937
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",1,Happy,1,937
Yeah.,0,Neutral,0,937
Yeah.,0,Neutral,0,937
Is there anything I can get you?  Do you want me to take care of anything for you or...?,0,Neutral,0,937
Is this a Masters or a P.h.D.?  Or can you...? Nice,0,Neutral,0,937
No it isn't.,3,Neutral,0,937
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",0,Neutral,0,937
Mind your own business.,3,Angry,3,937
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",1,Happy,1,937
Did you see much of Peter Burden after our divorce?,3,Angry,3,937
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",3,Angry,3,937
