Transcript,Label,Predicted Emotion,Mapped Value,speaker_id
"I know it's really crappy timing, but I don't have a choice.",2,Sad,2,944
"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",3,Angry,3,943
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",2,Sad,2,937
"I don't know.  I think this is a pretty good spot.  I mean, look at the view of the moon from here.",1,Neutral,0,944
"Well, maybe he just wanted to see her again.",0,Neutral,0,938
"No, don't think like that.",0,Neutral,0,939
"Well, I lost them.",2,Sad,2,940
Very good idea.  I will.,3,Angry,3,946
"Yeah, meaning I didn't die in a fiery plane crash.  How convenient, but um- I paid two thousand dollar to ride your airline, and I would really appreciate getting my bags there to my destination in one place.",3,Angry,3,943
Absolutely. we we,0,Neutral,0,938
She's not Larry's girl.,3,Neutral,0,938
Yes.,3,Angry,3,941
Don't laugh at me.  I'm being serious.,1,Happy,1,937
"I'll find out. But then after it's all over we'll thrash it out with dad, right?",0,Neutral,0,939
"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--",0,Neutral,0,938
"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",0,Neutral,0,937
"I know.  Okay.  Well, um. Maybe--",0,Neutral,0,937
Oh.  She was there?,0,Neutral,0,937
Yes.  Meaning just that.,1,Neutral,0,937
I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.,3,Angry,3,937
Or not.,1,Neutral,0,937
"Yes, I completely understand.  Actually, our-our airline only uses five star hotel and above.  Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",0,Neutral,0,938
"Yeah, I suppose I have been.  But it's going for me.",2,Sad,2,944
I heard it's so tough to get into.,1,Neutral,0,944
I want to talk to a supervisor,3,Angry,3,941
"See, you know I don't care what you do.  You could paint yourself green and run naked to the Place Vendome.",1,Neutral,0,945
"Now, I know.  Me either",2,Neutral,0,944
"So, did you see much of Peter Burden after the divorce?",0,Neutral,0,944
No.  No.  No.  What I need you to do -- I need you to write checks for -- I need you to write three of them. That'll be satisfactory.,3,Neutral,0,942
It's got that about it.,3,Angry,3,942
"You know as much as -as much as me that I-I want to stay here with you and Amy so bad, but I can't.",2,Sad,2,939
Fuck Boston.,0,Angry,3,939
"Yes, I do.",0,Neutral,0,942
Are you sure?,0,Neutral,0,943
"Well, there are-there are some shops here in- in the airport--",0,Neutral,0,938
"Oh, right, sure this is standing on the beach.  This is waiting.  This is fighting.",3,Angry,3,946
Some people.,2,Neutral,0,939
"I am not the only one, look at all these people.",0,Neutral,0,943
Why?,0,Neutral,0,939
"Well, it's like any kind of insurance.  You don't-when you get it, then you get more. You know, Like if you--",0,Neutral,0,943
[LAUGHTER] What will I do with a fortune?,1,Neutral,0,944
You always had a weak head.,3,Angry,3,945
I want to ask her to marry me.,0,Neutral,0,941
"I don't know. I should ask. Yeah, I will.",1,Neutral,0,945
"Well, get- I want the C.E.O. then.",3,Angry,3,939
"Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.",3,Neutral,0,944
To hell with that!,3,Angry,3,944
"I feel like my whole life is going to be spent here on the beach with my eyes wide open and my hands clasped expectantly, waiting for fish to show up and the fish never show.",3,Angry,3,945
"Can you imagine, though, you know, as a parent, just losing a kid? Twenty-two years old.",2,Sad,2,939
I didn't hit you very hard.,0,Neutral,0,942
The business?  The business doesn't inspire me.,3,Angry,3,942
"I felt wrong to be alive, to open the new bank book, to drive the new car, to see the new refrigerator.",2,Sad,2,946
